molecule_chembl_id,canonical_smiles,value_IC50,value_pIC50,units,MW,LogP,HBD,HBA
CHEMBL379047,CN(CCCl)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,156.0,6.806875401645538,nM,434.72500000000014,4.838400000000003,2.0,4.0
CHEMBL208144,CN(CCCl)C(=O)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,81.0,7.0915149811213505,nM,390.27400000000017,4.729300000000003,2.0,4.0
CHEMBL208849,Cc1cccc(Nc2ncnc3ccc(NC(=O)N(C)CCCl)cc23)c1,1693.0,5.771343041891065,nM,369.85600000000017,4.384320000000002,2.0,4.0
CHEMBL207009,O=C(NCCCl)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,18.0,7.7447274948966935,nM,420.6980000000001,4.496200000000002,3.0,4.0
CHEMBL210444,O=C(NCCCl)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,22.0,7.657577319177793,nM,376.2470000000001,4.387100000000002,3.0,4.0
CHEMBL208240,Cc1cccc(Nc2ncnc3ccc(NC(=O)NCCCl)cc23)c1,676.0,6.170053304058364,nM,355.8290000000001,4.0421200000000015,3.0,4.0
CHEMBL209343,CNc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,4.0,8.397940008672037,nM,284.75000000000006,4.068500000000002,2.0,4.0
CHEMBL208594,CNc1ccc2ncnc(Nc3cccc(C)c3)c2c1,11.0,7.958607314841775,nM,264.332,3.7235200000000015,2.0,4.0
CHEMBL213560,O=C1NC(=O)N(CCc2ccccc2)/C1=C/c1ccc(O)cc1,710.0,6.1487416512809245,nM,308.33700000000005,2.5276000000000005,2.0,3.0
CHEMBL212965,[O-][S+]1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6ccccc6)c(Cl)c5)c4c3)o2)CC1,12.0,7.920818753952375,nM,559.0910000000002,6.430100000000006,1.0,7.0
CHEMBL215716,[O-][S+]1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6ccccc6)c(F)c5)c4c3)o2)CC1,16.0,7.795880017344075,nM,542.6360000000001,5.915800000000005,1.0,7.0
CHEMBL212954,[O-][S+]1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4c3)o2)CC1,28.0,7.552841968657781,nM,577.0810000000001,6.569200000000006,1.0,7.0
CHEMBL377250,[O-][S+]1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(C(F)(F)F)c5)c4c3)o2)CC1,89.0,7.050609993355087,nM,610.6330000000002,6.934600000000005,1.0,7.0
CHEMBL445572,CS(=O)(=O)CCN(Cc1ccccc1)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,90.0,7.045757490560675,nM,671.1940000000003,8.051700000000006,1.0,8.0
CHEMBL384407,CS(=O)(=O)CCN(CC#N)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,27.0,7.568636235841012,nM,620.1060000000002,6.375080000000006,1.0,9.0
CHEMBL212251,CCCN(CCS(C)(=O)=O)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,85.0,7.070581074285707,nM,623.1500000000002,7.261500000000007,1.0,8.0
CHEMBL212201,O=S(=O)(CCCCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Cl)c4)c3c2)o1)c1ccccc1,50.0,7.301029995663981,nM,653.2040000000002,8.209500000000006,2.0,8.0
CHEMBL212250,O=S(=O)(CCOCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1)c1ccccc1,25.0,7.6020599913279625,nM,644.1240000000003,7.995400000000005,1.0,8.0
CHEMBL215171,CS(=O)(=O)CCOCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,26.0,7.585026652029182,nM,582.0530000000002,6.566100000000006,1.0,8.0
CHEMBL265367,Cn1ccnc1S(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(C(F)(F)F)c4)c3c2)o1,17.0,7.769551078621726,nM,680.6840000000003,6.667300000000006,2.0,10.0
CHEMBL214023,O=S(=O)(CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(C(F)(F)F)c4)c3c2)o1)c1ccccn1,19.0,7.721246399047171,nM,677.6800000000003,7.3288000000000055,2.0,9.0
CHEMBL1794063,O=S(=O)(CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1)c1ccccc1,19.0,7.721246399047171,nM,643.1400000000002,7.568400000000006,2.0,8.0
CHEMBL214487,CC(C)S(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,18.0,7.7447274948966935,nM,609.1230000000002,6.917700000000006,2.0,8.0
CHEMBL383965,CCCS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,21.0,7.6777807052660805,nM,609.1230000000002,6.919300000000006,2.0,8.0
CHEMBL215814,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(C(F)(F)F)c4)c3c2)o1,80.0,7.096910013008056,nM,614.6210000000003,6.5045000000000055,2.0,8.0
CHEMBL387207,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(C(F)(F)F)c4)c3c2)o1,160.0,6.795880017344075,nM,596.6310000000003,6.3654000000000055,2.0,8.0
CHEMBL215033,COc1cc(Nc2ncnc3ccc(-c4ccc(CNCCS(C)(=O)=O)o4)cc23)ccc1OCc1cccc(F)c1,100.0,7.0,nM,576.6500000000003,5.494300000000004,2.0,9.0
CHEMBL214689,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Br)c4)c3c2)o1,25.0,7.6020599913279625,nM,607.5300000000002,6.109100000000005,2.0,8.0
